record,n_epoch,movement_found,delay_ms,onset_time,peak_time,mep_amplitude_mV,trigger_sample,trigger_time_ms,peak_amp,peak_prominence,peak_area,peak_times,peak_onsets,peak_amps,peak_areas,threshold,noise_median,noise_sigma,fraction_max,n_peaks,emg_ptp_mV,mep_baseline_mV
08_04KK_tms_40MSO_real.hdf,11,False,,,,0.16812294721603394,305825,61165.0,,,,[],[],[],[],3.889568042719677e-11,7.0340020080744465e-12,7.96541960478058e-12,0.0,0,0.07224102913053086,0.001048183417879045
08_04KK_tms_40MSO_real.hdf,12,False,,,,0.16668367385864258,334079,66815.8,,,,[],[],[],[],4.6442176433721827e-11,1.046761458573704e-11,8.993640461996197e-12,0.0,0,0.05168049239487395,0.0003594957524910569
08_04KK_tms_40MSO_real.hdf,13,True,75.6,75.6,76.0,2.3716518878936768,358000,71600.0,7.180216105589773e-11,6.896296717790587e-11,5.87326989329518e-11,"[76.0, 93.6, 113.6, 183.6, 273.8]","[75.6, 93.0, 113.0, 183.4, 273.4]","[7.180216105589773e-11, 1.398041544564909e-10, 1.067572101219851e-10, 6.467068419791607e-11, 5.5188795967882414e-11]","[5.87326989329518e-11, 1.811759268556606e-10, 9.121321543645005e-11, 9.191968608466457e-12, 4.382418041406599e-12]",4.6731844515958917e-11,9.885954019059083e-12,9.211472624224958e-12,0.6190476190476191,5,0.2897076380566425,0.005459206644445658
08_04KK_tms_40MSO_real.hdf,14,True,-109.8,-109.8,-107.8,1.4337142705917358,386421,77284.2,1.9970625859145748e-10,1.9826533924631803e-10,3.566883033619282e-10,"[-107.8, -76.4, -36.8, -19.4, -8.6, 93.2, 113.0]","[-109.8, -77.0, -38.8, -20.4, -9.8, 92.4, 112.6]","[1.9970625859145748e-10, 7.233630942759628e-11, 1.609576030559708e-10, 9.843714174647054e-11, 6.858430348545914e-11, 1.3000532497632938e-10, 8.451162852205984e-11]","[3.566883033619282e-10, 2.1117584752138492e-11, 2.5456517942929047e-10, 7.549392989370137e-11, 1.7156618376012753e-11, 1.0392274017935073e-10, 2.4840550164198863e-11]",5.388343434472163e-11,7.105487668925341e-12,9.1088905443011e-12,1.0,7,0.2832636969578298,0.000813275168184191
08_04KK_tms_40MSO_real.hdf,15,True,97.0,97.0,97.6,0.034240368753671646,410591,82118.2,1.6552904775374987e-10,1.7957672608966876e-10,3.065383054671609e-10,"[97.6, 115.6]","[97.0, 115.2]","[1.6552904775374987e-10, 5.686790000736502e-11]","[3.065383054671609e-10, 1.6940808821218188e-11]",3.9650544386277285e-11,7.2713046278891195e-12,8.094809939597041e-12,0.7619047619047619,2,0.1837121740846232,0.0010797656141221523
08_04KK_tms_40MSO_real.hdf,16,False,,,,1.2060459852218628,437554,87510.8,,,,[],[],[],[],3.632682002687013e-11,6.9860786130933624e-12,7.335185353444191e-12,0.0,0,0.04438885627740233,6.305254828475881e-06
08_04KK_tms_40MSO_real.hdf,17,False,,,,0.6809555888175964,461391,92278.2,,,,[],[],[],[],3.897073710966983e-11,7.275241651125907e-12,7.92387386463598e-12,0.0,0,0.1295811131636941,0.0005794023745693266
08_04KK_tms_40MSO_real.hdf,18,False,,,,1.7007654905319214,488061,97612.2,,,,[],[],[],[],3.776343802623041e-11,7.260385926539769e-12,7.62576302492266e-12,0.0,0,0.09824000113884068,-0.0001144636407843791
08_04KK_tms_40MSO_real.hdf,19,True,91.8,91.8,92.2,2.0057003498077393,515399,103079.8,9.70163853355537e-11,1.2266514915662116e-10,1.0520242881081796e-10,"[92.2, 112.2, 134.4]","[91.8, 111.8, 134.2]","[9.70163853355537e-11, 7.381298167609051e-11, 4.9184355119408806e-11]","[1.0520242881081796e-10, 4.915898018727613e-11, 5.457564565408384e-12]",3.938534687626271e-11,6.751314404356756e-12,8.158508117976488e-12,0.47619047619047616,3,0.2136934559079619,-0.0003047221980523318
08_04KK_tms_40MSO_real.hdf,20,True,94.0,94.0,94.8,0.10341458022594452,542820,108564.0,1.0102766271997561e-10,1.372677780759826e-10,1.1121425412268696e-10,"[94.8, 114.8, 134.6, 178.4]","[94.0, 114.2, 134.4, 178.0]","[1.0102766271997561e-10, 7.338375523225025e-11, 4.24695600791309e-11, 4.6298078261272454e-11]","[1.1121425412268696e-10, 4.9086655802755155e-11, 3.150925156948521e-12, 4.747554290462685e-12]",3.63485718437117e-11,6.61735174955723e-12,7.432805023538617e-12,0.6190476190476191,4,0.2426731746611431,-0.0007180602988228202
