record,n_epoch,movement_found,delay_ms,onset_time,peak_time,mep_amplitude_mV,trigger_sample,trigger_time_ms,peak_amp,peak_prominence,peak_area,peak_times,peak_onsets,peak_amps,peak_areas,threshold,noise_median,noise_sigma,fraction_max,n_peaks,emg_ptp_mV,mep_baseline_mV
08_06TG_tms_58MSO_real.hdf,12,True,91.4,91.4,92.2,3.289078712463379,316484,63296.8,7.79553417850927e-11,8.253909734382672e-11,4.674864054166963e-11,"[92.2, 112.2, 122.2, 142.4, 162.4, 182.2, 202.4]","[91.4, 111.8, 121.8, 142.0, 162.0, 182.0, 202.0]","[7.79553417850927e-11, 5.042268782783562e-11, 4.081076782815521e-11, 4.3002395435417534e-11, 3.930620676703513e-11, 3.6519228205826486e-11, 3.745811677602872e-11]","[4.674864054166963e-11, 1.2978050367392287e-11, 6.431162173782355e-12, 7.385293711343566e-12, 4.686267830243558e-12, 2.779331850250144e-12, 3.2846571803205556e-12]",3.013765902470054e-11,5.602491440626932e-12,6.133791896018402e-12,0.47619047619047616,7,0.2326755954718217,0.0011203697649762034
08_06TG_tms_58MSO_real.hdf,13,True,75.2,75.2,75.6,3.5932931900024414,340280,68056.0,6.613529528186949e-11,6.102356909207006e-11,1.9562674416251587e-10,"[75.6, 93.2, 113.2, 143.4, 163.4, 183.4, 203.4, 223.4, 253.2]","[75.2, 91.0, 112.6, 142.8, 162.8, 182.8, 203.0, 223.0, 253.0]","[6.613529528186949e-11, 9.09989641037183e-11, 5.5341587794911545e-11, 5.990483471911053e-11, 6.635714906466166e-11, 5.5373196830003303e-11, 4.45658112825638e-11, 4.019913926921712e-11, 3.788070956386508e-11]","[1.9562674416251587e-10, 7.038717863719355e-11, 1.8233506826571503e-11, 2.7550875540075908e-11, 2.7176342128866873e-11, 1.795177504124823e-11, 7.598031544902454e-12, 4.752630954757479e-12, 3.665853086352572e-12]",3.0794199871702897e-11,5.111726189799438e-12,6.4206184204758645e-12,0.9047619047619048,9,0.2681229612648885,0.0006007102783769369
08_06TG_tms_58MSO_real.hdf,14,True,78.4,78.4,79.0,3.13334059715271,365117,73023.4,6.871889399475903e-11,8.708457033933606e-11,7.487976287855916e-11,"[79.0, 92.6, 112.6, 122.6, 142.6, 162.6, 182.6, 202.8, 222.8]","[78.4, 92.2, 112.2, 121.8, 142.2, 162.0, 182.0, 202.4, 222.4]","[6.871889399475903e-11, 6.218748872829879e-11, 4.717274934538746e-11, 4.7764716695279627e-11, 5.219495583363683e-11, 5.10711143929714e-11, 5.647014604797625e-11, 4.1375868392789185e-11, 4.115648856191461e-11]","[7.487976287855916e-11, 5.720313882757144e-11, 1.7582848709286652e-11, 2.2081294829284078e-11, 1.9204829747573243e-11, 1.732803718272899e-11, 2.8917131042822985e-11, 8.509287709276508e-12, 8.280083636558319e-12]",2.857390580241478e-11,4.173148701526791e-12,6.1001892752219975e-12,0.6666666666666666,9,0.25215314681958695,0.0006591497221961617
08_06TG_tms_58MSO_real.hdf,15,True,76.4,76.4,77.0,2.9507176876068115,391204,78240.8,6.158121060871885e-11,6.243138988709202e-11,7.455459094089387e-11,"[77.0, 98.6, 114.8, 144.8, 164.8, 184.8, 204.8]","[76.4, 96.2, 114.4, 144.4, 164.4, 184.4, 204.6]","[6.158121060871885e-11, 1.4787311074539062e-10, 5.2335718761909284e-11, 5.791743682805083e-11, 5.908150716790472e-11, 4.8453128938339186e-11, 4.311293405040005e-11]","[7.455459094089387e-11, 2.729065060078323e-10, 2.0928558755152068e-11, 2.4507004226796048e-11, 2.29105522776213e-11, 1.3045034748815187e-11, 7.030061920792448e-12]",3.149708726253288e-11,5.611429765507422e-12,6.471414374256365e-12,0.8095238095238095,7,0.22791511199801695,0.0012278640642762184
08_06TG_tms_58MSO_real.hdf,16,False,,,,0.022701222449541092,418583,83716.6,,,,[],[],[],[],3.002715649789929e-11,5.178777052643657e-12,6.212094861313909e-12,0.0,0,0.032050913527881905,0.0007530915318056941
08_06TG_tms_58MSO_real.hdf,17,True,85.8,85.8,87.6,1.1360938549041748,443754,88750.8,1.7983639873877855e-10,1.8065238748544429e-10,3.647102445135079e-10,"[87.6, 107.6, 248.2]","[85.8, 107.2, 246.0]","[1.7983639873877855e-10, 4.703916855098229e-11, 8.249758426363886e-11]","[3.647102445135079e-10, 1.8672042127372106e-11, 1.7064057763385065e-10]",3.022043723705551e-11,5.755414709780489e-12,6.116255631818754e-12,1.0,3,0.12197708827100039,-1.2800759577658027e-05
08_06TG_tms_58MSO_real.hdf,18,True,123.4,123.4,123.6,0.19287340342998505,469966,93993.2,3.62809302597466e-11,2.7211533779800284e-11,4.839390962080833e-12,"[123.6, 138.2, 149.6]","[123.4, 127.4, 144.4]","[3.62809302597466e-11, 3.1750859469100093e-09, 2.817591849797001e-10]","[4.839390962080833e-12, 1.0973339592358268e-08, 1.0582836729302023e-09]",3.302286322843905e-11,5.946699481958459e-12,6.769040936620148e-12,1.0,3,0.625776756195383,-0.0007579611847177148
08_06TG_tms_58MSO_real.hdf,19,False,,,,1.2248700857162476,493803,98760.6,,,,[],[],[],[],3.3675547931232775e-11,5.661904304490602e-12,7.003410906685542e-12,0.0,0,0.10400888833029141,-9.378312824992463e-05
08_06TG_tms_58MSO_real.hdf,20,True,78.2,78.2,78.6,3.845668077468872,518974,103794.8,9.201633816122593e-11,1.1117315657970304e-10,7.77086762394854e-11,"[78.6, 92.0, 110.0, 139.8, 162.2, 270.0]","[78.2, 91.2, 109.6, 139.4, 161.8, 269.6]","[9.201633816122593e-11, 1.1108126520569388e-10, 5.507050913451299e-11, 5.294080496343214e-11, 5.342967570405952e-11, 4.780439853869792e-11]","[7.77086762394854e-11, 1.427463798859945e-10, 2.7010174216860354e-11, 1.4422866832912479e-11, 1.815597933686536e-11, 9.489541481562574e-12]",3.874622456720033e-11,7.590307214381759e-12,7.788979338204644e-12,0.8095238095238095,6,0.29730947236937255,0.0006149331456981599
08_06TG_tms_58MSO_real.hdf,21,True,94.4,94.4,95.2,3.968886375427246,545603,109120.6,1.1806098497510884e-10,1.2647435794350416e-10,9.937659045769421e-11,"[95.2, 115.2, 125.2, 145.2, 165.2, 185.2, 205.4, 255.2]","[94.4, 114.8, 124.8, 144.8, 164.8, 185.0, 205.0, 255.0]","[1.1806098497510884e-10, 5.955517221579186e-11, 5.969465083789071e-11, 8.283736938026513e-11, 7.484839581526077e-11, 6.1362939008754e-11, 4.7874826021601944e-11, 4.719143374895545e-11]","[9.937659045769421e-11, 1.4650165757730998e-11, 1.5605498840570047e-11, 4.037475743221698e-11, 2.91167344576604e-11, 1.595709298280482e-11, 4.7674497004818275e-12, 4.38719694556647e-12]",3.842847369532161e-11,6.723995098292027e-12,7.926119649257397e-12,0.7619047619047619,8,0.32191891728036187,0.002513185376301408
08_06TG_tms_58MSO_real.hdf,22,False,,,,4.409005165100098,572024,114404.8,,,,[],[],[],[],1.4537904229647867e-10,9.062029929596087e-12,1.2262983699348983e-11,0.0,0,0.3436338436093793,0.0007583596743643284
08_06TG_tms_58MSO_real.hdf,23,True,75.2,75.2,76.2,4.310544967651367,598736,119747.2,7.953177749516962e-11,7.325270701935777e-11,2.018616248173685e-10,"[76.2, 94.0, 124.0, 144.2, 164.0, 214.0]","[75.2, 93.4, 123.6, 143.6, 163.6, 213.6]","[7.953177749516962e-11, 1.2966843829553482e-10, 8.23814705494116e-11, 8.629801045884766e-11, 8.575532918714589e-11, 6.420008346265636e-11]","[2.018616248173685e-10, 8.09299881079199e-11, 2.37987839784997e-11, 2.5826506998535337e-11, 2.4207946483779783e-11, 6.3566685513121506e-12]",5.1322752455638684e-11,6.279070475811849e-12,8.228904296999421e-12,0.625,6,0.35276488964926384,0.004170650150626898
08_06TG_tms_58MSO_real.hdf,24,False,,,,0.03677479550242424,625657,125131.4,,,,[],[],[],[],4.030744464271737e-11,6.358907727332834e-12,8.487134228846133e-12,0.0,0,0.03916364081224934,9.236032929038629e-05
08_06TG_tms_58MSO_real.hdf,25,True,77.8,77.8,78.6,3.529148817062378,654203,130840.6,1.0281218485888475e-10,1.187734070161143e-10,1.2398341352187408e-10,"[78.6, 96.0, 116.4, 142.0, 162.2, 182.2]","[77.8, 93.6, 116.0, 141.4, 161.6, 181.8]","[1.0281218485888475e-10, 2.589224156113834e-10, 6.894033185196539e-11, 7.892332238906106e-11, 6.737095912897921e-11, 5.574377015154811e-11]","[1.2398341352187408e-10, 5.336938224470946e-10, 5.27836520296154e-11, 4.24453029499894e-11, 2.727087809000739e-11, 1.03711339569914e-11]",3.8878477991732097e-11,6.544101663226021e-12,8.083594082126519e-12,0.7619047619047619,6,0.30636625129754147,0.002462847623974085
08_06TG_tms_58MSO_real.hdf,26,True,122.2,122.2,129.2,0.6635196805000305,681499,136299.8,4.7403881399667204e-09,4.7479126182364514e-09,1.483462233918912e-08,"[129.2, 263.4]","[122.2, 251.4]","[4.7403881399667204e-09, 1.1309518325274506e-09]","[1.483462233918912e-08, 3.4752618978572685e-09]",3.5508850239104916e-11,6.178522338728803e-12,7.332581975094028e-12,1.0,2,0.6210115438049231,-0.00029638895648531616
